album_id,adverts,sales,airplay,image
aox1foms,10.256,330,43,10
u453js2i,985.685,120,28,7
pie89xnr,1445.563,360,35,7
u2k5a0df,1188.193,270,33,7
t4699ux3,574.513,220,44,5
s4h49cu2,568.954,170,19,5
1235a8sf,471.814,70,20,1
p2v24p5k,537.352,210,22,9
4fbjg024,514.068,200,21,7
e9w6usdb,174.093,300,40,7
yv71cv1k,1720.806,290,32,7
r46hn4l5,611.479,70,20,2
3ms1pfwf,251.192,150,24,8
1dx58o1y,97.972,190,38,6
vm6bk96t,406.814,240,24,7
xrma88h9,265.398,100,25,5
m0ji91q1,1323.287,250,35,5
7ba7ypun,196.65,210,36,8
5j3y94ro,1326.598,280,27,8
n3d4q7ud,1380.689,230,33,8
g7x7n0tl,792.345,210,33,7
2doe48ll,957.167,230,28,6
0oir5dgr,1789.659,320,30,9
4y8unhl3,656.137,210,34,7
38b1l557,613.697,230,49,7
2155l5dm,313.362,250,40,8
haoygplv,336.51,60,20,4
i0e5kuq4,1544.899,330,42,7
3bkhj2r8,68.954,150,35,8
h5dxrcc2,785.692,150,8,6
w8881p71,125.628,180,49,7
963rv497,377.925,80,19,8
523xd6m4,217.994,180,42,6
qihl4k1w,759.862,130,6,7
irtkxl15,1163.444,320,36,6
2j7m5785,842.957,280,32,7
3y0nd2f0,125.179,200,28,6
c6i1rw10,236.598,130,25,8
p8lhh416,669.811,190,34,8
333s5fc3,612.234,150,21,6
q8435513,922.019,230,34,7
2hpe5q65,50,310,63,7
mp7j128f,2000,340,31,7
0j67hp83,1054.027,240,25,7
q31hjs5f,385.045,180,42,7
7hi4c2sb,1507.972,220,37,7
4u5b17p9,102.568,40,25,8
px64h8mf,204.568,190,26,7
8811bfg1,1170.918,290,39,7
g623gjx1,689.547,340,46,7
f659oiem,784.22,250,36,6
lmiak702,405.913,190,12,4
1e4kv194,179.778,120,2,8
18dk3p6x,607.258,230,29,8
8bs417uk,1542.329,190,33,8
547yg31d,1112.47,210,28,7
o26h8i2g,856.985,170,10,6
6gve7a89,836.331,310,38,7
n6378n5w,236.908,90,19,4
3c4vk93t,1077.855,140,13,6
a8qip18r,579.321,300,30,7
v0vybh3w,1500,340,38,8
y1q5pq76,731.364,170,22,8
p534d2m1,25.689,100,23,6
cq2fu7i6,391.749,200,22,9
hqr64o1p,233.999,80,20,7
u72l76ym,275.7,100,18,6
ys84ustj,56.895,70,37,7
og0w0tn3,255.117,50,16,8
58hwnwd8,566.501,240,32,8
k2te8hhl,102.568,160,26,5
yx38547y,250.568,290,53,9
vair187e,68.594,140,28,7
p97apgf1,642.786,210,32,7
tb93sjk6,1500,300,24,7
a1afo9o8,102.563,230,37,6
612p7vm8,756.984,280,30,8
ig24bfxk,51.229,160,19,7
qv2p8k21,644.151,200,47,6
rr7blr22,15.313,110,22,5
ee24xk1d,243.237,110,10,8
3fn45784,256.894,70,1,4
xbe10427,22.464,100,1,6
3dfn9nva,45.689,190,39,6
9svmhq82,724.938,70,8,5
907m5o1f,1126.461,360,38,7
h66kvk9g,1985.119,360,35,5
9542933h,1837.516,300,40,5
oxm331xv,135.986,120,22,7
ir13y3s2,237.703,150,27,8
qfgru27b,976.641,220,31,6
5g2i7135,1452.689,280,19,7
70xbf71o,1600,300,24,9
ai5t7557,268.598,140,1,7
88b7t3ow,900.889,290,38,8
1ms5nnwa,982.063,180,26,6
wubp6thd,201.356,140,11,6
d24n32v7,746.024,210,34,6
up16rl2b,1132.877,250,55,7
i7371fs4,1000,250,5,7
5042wr5t,75.896,120,34,6
hku5f55k,1351.254,290,37,9
42hp1p8b,202.705,60,13,8
4m9tq8m7,365.985,140,23,6
d3bvhprf,305.268,290,54,6
1kv24p48,263.268,160,18,7
9vmwl4m2,513.694,100,2,7
5o66486r,152.609,160,11,6
h512m7d6,35.987,150,30,8
8vu33115,102.568,140,22,7
83a0rloa,215.368,230,36,6
okp7g5np,426.784,230,37,8
lls75ob3,507.772,30,9,3
0wpe8lcf,233.291,80,2,7
8ac48qo2,1035.433,190,12,8
k58sv8fp,102.642,90,5,9
evyfbhf0,526.142,120,14,7
y443p875,624.538,150,20,5
hn736997,912.349,230,57,6
325826vm,215.994,150,19,8
176r500s,561.963,210,35,7
wq188m75,474.76,180,22,5
jxg4unbk,231.523,140,16,7
x46w4y9r,678.596,360,53,7
hp2un36x,70.922,10,4,6
2s719464,1567.548,240,29,6
82is8k12,263.598,270,43,7
s69i3p9k,1423.568,290,26,7
8282kgeb,715.678,220,28,7
207fanpv,777.237,230,37,8
1t8mfr2c,509.43,220,32,5
c16l2scj,964.11,240,34,7
n2u2ay5g,583.627,260,30,7
f78rp0o2,923.373,170,15,7
rwa987a1,344.392,130,23,7
8c617fbc,1095.578,270,31,8
vry88170,100.025,140,21,5
fhlt8y23,30.425,60,28,1
1d76qtt5,1080.342,210,18,7
665t4d95,799.899,210,28,7
826tsmr8,1071.752,240,37,8
71to1e22,893.355,210,26,6
x1yk732s,283.161,200,30,8
kvh9nhvn,917.017,140,10,7
35nf446g,234.568,90,21,7
2e8l8m25,456.897,120,18,9
i0yi25an,206.973,100,14,7
2bwtv0dm,1294.099,360,38,7
kwiuqs18,826.859,180,36,6
y4f52kcf,564.158,150,32,7
n2ce1g48,192.607,110,9,5
1p35feft,10.652,90,39,5
6658273t,45.689,160,24,7
72n6i0le,42.568,230,45,7
02v7dvk0,20.456,40,13,8
xrestomy,635.192,60,17,6
4d3m7y22,1002.273,230,32,7
54502al7,1177.047,230,23,6
53ptu44r,507.638,120,0,6
cb86p673,215.689,150,35,5
1hdflsm5,526.48,120,26,6
f5xriy4b,26.895,60,19,6
3x8qu055,883.877,280,26,7
h364p884,9.104,120,53,8
4wj5r959,103.568,230,29,8
dh5eh453,169.583,230,28,7
9d86g6j3,429.504,40,17,6
8898u781,223.639,140,26,8
2a87dr4r,145.585,360,42,8
s34n6o21,985.968,210,17,6
e12rhd3m,500.922,260,36,8
m2w2b6l2,226.652,250,45,7
237i35mk,1051.168,200,20,7
g0256luf,68.093,150,15,7
u8v585dg,1547.159,250,28,8
9wq8rb41,393.774,100,27,6
000340b8,804.282,260,17,8
s3232136,801.577,210,32,8
h8udm3m0,450.562,290,46,9
25dk7mqx,26.598,220,47,8
51t9su88,179.061,70,19,1
7c654if0,345.687,110,22,8
yk41btw4,295.84,250,55,9
28b7w91t,2271.86,320,31,5
yfl86vb6,1134.575,300,39,8
67m1087x,601.434,180,21,6
5bjl6x34,45.298,180,36,6
h0r9r343,759.518,200,21,7
q0bl5ss2,832.869,320,44,7
gap302i0,56.894,140,27,7
7v4v7ji2,709.399,100,16,6
29p1n62k,56.895,120,33,6
494b57ad,767.134,230,33,8
it41qpqy,503.172,150,21,7
h7q5fril,700.929,250,35,9
8ns2xx2p,910.851,190,26,7
lxy84s6u,888.569,240,14,6
2a1v925j,800.615,250,34,6
776h9we3,1500,230,11,8
44u48339,785.694,110,20,9
